JASSO Scholarship Pamphlet 2025-2026 — Sortable Master List,,,,,,,,,,,,,,,,,,,,
"Source: Japan Student Services Organization (JASSO) Scholarship for International Students in Japan 2025-2026. Use the filter dropdowns on each column to narrow by country, field, age limit, etc. Sections: III = Local Govts, IV = Private Foundations, V = For applicants residing abroad. Sub-entries under one foundation use suffix numbering (e.g., 61-1, 61-2). Qualifier codes: HS=High School, CT=College of Technology, ST=Specialized Training, UJ=Univ Japanese Program, JL=Japanese Lang Institute, JC=Junior College, A=Auditors (Undergrad), U=Undergrad, R=Research Student, P=Professional Degree, M=Master's, D=Doctoral. Selection: D=Document, I=Interview, W=Written exam, O=Others.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Section,No.,Foundation,Scholarship Name,Address / Contact,Inquiry,Application,Qualifier (School Year),Age Limit,Designated Countries/Regions,Designated Schools in Japan,Designated Fields of Study,Plural Grants,Non-Student Visa OK,Additional Requirements,"Contents (¥1,000)",Duration,Application Period,Selection Method,Grantees,Grantees / Applications (Prev Year)
IV. Private Foundations,31,"International Kyowa
Scholarship Foundation
（公財）国際協和奨学会",,"2-4-7-201 Nagata-cho, Chiyoda-ward,
Tokyo 100-0014
Tel 03-3580-2469
Fax 03-3580-6078",F,S,"CT
ST
U
M
D",−,−,"Schools in Tokyo
and its environs",−,N,N,,120/M,Up to 2y,Nov.,"D, I, O",5,"5
(grantees)"
IV. Private Foundations,32,"International Human resource
Network Organization
Foundation（IHNO）
（公財）国際人材交流支援機構",,"2-17-17, Nagata-chou, chiyoda-ku,
Tokyo 100-0014
Tel 03-6550-8811
Fax 03-6550-8822",F,F,"UJ
JL
ST
JC
A
U
R
M
D
P",−,−,Contact the school,−,N,N,"Students/international
students who follow
the rules of
Article 19 of
the Immigration
Control Act",30/M,2y,"Please
inquire
at any time",D,Not fixed,"380
/500"
IV. Private Foundations,33,"The International Foundation
for Japanese Studies
（一財）国際日本文化研究
交流財団",,"3-2 Oeyama-cho, Goryo,
Nishikyoward,
Kyoto-city, Kyoto 610-1102
Tel 075-332-1868 Fax 075-333-1565
www.zai-nichibun.jp/ryugaku.html",S,S,D,−,−,"19 designated
universities
in Kyoto
(Contact
the school.)","Psychology,
Geography,
Sociology,
Politics,
Anthropology,
History of
Scientific
Technology,
Philosophy,
History,
Literature,
Economics",N,N,"Fluent Japanese
communication skills
are required
School
recommendation
required",100/M,within 3y,Apr.,D,2,2/2
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
IV. Private Foundations,36,"Sato International Cultural
Scholarship Foundation
（公財）佐藤国際文化育英財団",,"31-10 Daikyocho, Shinjuku-ward,
Tokyo 160-0015
Tel 03-3358-6021
Fax 03-3358-6023
http://sato-museum.la.coocan.jp/
english/
sato-museum@nifty.com","F
・
S",S,"U(3)
M(1)
D(1 - 2)","35 or
under",−,"The Aichi
Prefectural U of
Fine Arts, Kyoto
City U of Arts,
Kyoto U of the
Arts, Joshibi U of
Art and Design,
Tokyo U of the
Arts, Musashino
Art U, Tama Art U,
U of Tsukuba,
Hiroshima City U,
Tohoku U of
Art and Design,
Kanazawa C of
Art, Tokyo Zokei
U, Nihon U","Japanese
Paintings, Oil
Paintings,
Prints",Y,N,"Attendance at the
designated meetings
and events is required",30/M,"2y
(Apr.-Mar.)","Apr.- Early
May","D, I",10,10/63
IV. Private Foundations,37,"Sato Yo International
Scholarship Foundation
（公財）佐藤陽国際奨学財団",,"Tamachi Station Tower N, 3-1-1
Shibaura,Minato-ku,
Tokyo 108-0023
Tel 03-6435-3388
Fax 03-6435-3165
https://sisf.or.jp/en/scholarship-2/
foreign-studies-2/self-supporting/
sisf@sato-global.com",S,S,U,−,"Indonesia,
Singapore,
Philippines,
Malaysia, Brunei,
Thailand,
Viet Nam, Laos,
Cambodia,
Myanmar,
India, Sri Lanka,
Maldives,
Pakistan, Nepal,
Bhutan,
Bangladesh，
Timor-Leste",−,−,N,N,"Must attend a
bimonthly cultural
exchange meeting",180/M,"Max 2y
(range of
a single
degree
course)","(1)May-Aug.
(planned)
(2)Nov.-Jan.
(planned)","D, I","(1)About
15
(2)A few","(1)
12/91
(2)
13/100"
IV. Private Foundations,38,"Shiiki Masakazu Memorial
Scholarship for Asian Student
（公益信託）椎木正和記念
アジア留学生奨学基金",,"Solution Business Division,
The Bank of Fukuoka Ltd.,
1-8-3 Otemon Chuoward,
Fukuoka-city, Fukuoka 810-8693
Tel 092-723-2291",S,S,"M
D",−,Asia,Fukuoka pref.,−,N,N,,600/Y,1y,"Mid Mar.-
Mid May",D,6,6/19
IV. Private Foundations,39,"College Women's Association
of Japan (CWAJ)
（社）CWAJ","Graduate Scholarship for
Non-Japanese Women to
Study in Japan","CWAJ Scholarship Committee
2-24-13-601 Kami-osaki,
Shinagawa-ward, Tokyo 141-0021
https://cwaj.org/scholarship/
graduate-scholarship-for-non-
japanese-women-to-study-in-japan-
njg/
scholarshipinquiry@cwaj.org",F,F,D,−,−,−,−,Y 1500/Y,N,"Women
must be living in Japan
at the time an application
is submitted",2000/Y,1y,"Early July-
Early Oct.",D.I,2,"2
(Grantees)"
IV. Private Foundations,40,"Shunju Scholarship Foundation
（公財）春秋育英会",,"7F AD-C Kanda,28-1,
Konyacho,Kanda,Chiyoda-
ward,Tokyo 101-0035
Tel 03-6260-7412
Fax 03-6260-7413",F,S,U,"30 or
under",Southeast Asia,−,−,Y,N,,30/M,"Up to
graduation
/completion","Early Apr.-
Mid May",D,"Please
contact the
school /
foundation",4/4
IV. Private Foundations,41,"Syunpu Dormitory
（公財）春風学寮",One Seed Scholarship,"5-3-12 Kyodo, Setagaya-ward, Tokyo
156-0052
Tel 03-3425-6427
https://gakuryo.org
shunpugakuryo@shunpu.sakura.
ne.jp",F,F,"M
D","35 or
under","China, USA,
Korea,
Southeast Asia",−,−,Y,N,"(1)Respect for and
interest in Christianity
(2)Living with other
Japanese students
in the dormitory
(3)Obeying the
dormitory spirit(love
and trust each other)
and the basic rules
(4)Male","120/M,
from which
you are
supposed
to pay the
monthly
rent and
board
(67/M)","M: 2y
D: 3y","June-Aug.
Jan.-Mar.","D, I",4,1/1
IV. Private Foundations,42,"Senshu Scholarship
Foundation
（公財）千趣留学生奨学財団",,"3-1-1 Kaigandori chuouku Kobe-city,
Hyogo 650-0024
Tel 078-335-2177 Fax 078-335-2178
senshu@issf.or.jp",S,F,"U
M
D",−,"East and
Southeast Asia",Hyogo pref.,−,N,N,"Japanese language
ability required",100/M,"Minimum
years
required for
graduation/
completion",Mar.,I,20,20/40
IV. Private Foundations,43,"Frances & Sachio Semmoto
Foundation
（公財）千本財団",Semmoto Scholarship,"2-2-1-18F Kyobashi, Chuoku, Tokyo
104-0031
Tel 03-5656-5297
Fax 03-3516-6261
https://semmoto.or.jp/en-
scholarship-system#a1
admin@semmoto.or.jp","F
・
S","F
・
S",M,Under 29,"Laos, Cambodia,
Myanmar,
Indonesia,
Vietnam,
Philippines,
Thailand,
Malaysia, USA","Hokkaido U,
Tohoku U,
U of Tokyo,
Nagoya U,
Kyoto U,
U of Osaka,
Kyushu U,
Science Tokyo,
Hitotsubashi U,
U of Tsukuba,
Kobe U,
Waseda U,
Keio U,
International
Christian U,
Sophia U",−,Y,Y,"A letter of
recommendation from
the university
is required.",120/M,1y,Late Jan.,"D,I",5,4/24
IV. Private Foundations,44,"Sojitz Foundation
（公財）双日国際交流財団",,"2-1-1 Uchisaiwaicho , Chiyoda-ward,
Tokyo 100-8691
Tel 03-6871-2800 Fax 03-6871-5561
sojitz-zaidan@sojitz.com",S,S,U(3-4),Under 30,−,"Hokkaido U,
Tohoku U,
U of Tsukuba ,
U of Tokyo,
Science Tokyo,
Hitotsubashi U,
Waseda U,
Keio U, Sophia U,
Yokohama
National U,
Nagoya U,
Kyoto U,
U of Osaka,
Kobe U,
Kyushu U,
Ritsumeikan Asia
Pacific U,
Chiba U,
Okayama U,
Hiroshima U,
Kumamoto U,
International U of
Japan",−,N,N,"School
recommendation
required
Japanese language
ability required",70/M,"2y
(Maximum)","Apr. 1
-Mid May",D,10-13,9/21
IV. Private Foundations,45,"TAKASE Scholarship
Foundation
（公財）タカセ国際奨学財団",,"1-10-9 Shimbashi, Minato-ku, Tokyo
105-0004
Tel 03-3571-9401
Fax 03-3571-4622
www.takasesf.or.jp/english/
eguidelines.html
info@takasesf.or.jp",S,S,"U
M
D",−,−,"U of Tsukuba,
Chiba U,
Saitama U,
U of Tokyo,
Science Tokyo,
Tokyo U
of Foregin
Language,
Tokyo U of
Agriculture and
Technology,
Hitotsubashi U,
Keio U,
International
Christian U,
Sophia U,
Waseda U",Y,"Ｙ
30/M",N,"Recommended
student by universities
in Japan",100/M,"1y（you can
reapply for
up to 2y）","July-
Late Aug.",D,13,13/22
,,,,,,,,,,,,,,,,,,,,
IV. Private Foundations,47,"The Korean Scholarship
Foundation
（公財）朝鮮奨学会",,"1-8-1 Nishi Shinjuku, Shinjuku-ku,
Tokyo 160-0023
Tel 03-3343-5757 Fax 03-3344-3947",S,S,"JC
U(1-6)",Under 30,Korea,−,−,Y,Y,"Applicant with
nonstudent
visa
need to apply to
the foundation directly",25/M,1y,"・ Application
by internet
Apr. 10
-May 12","D, I",Not fixed,"369/558
(New
applicants)"
IV. Private Foundations,48,"Tsuzuki international
Scholarship Foundation
（一財）都築国際育英財団","International Student
Scholarship","24-5, Sakuragaoka, Shibuyaku,
Tokyo 150-0031
Tel 03-3464-0831
Fax 03-3464-0835
www.tsuzuki.or.jp/category/info/",S,S,U,Under 30,−,Kanto region,−,"Y
50/M",N,,60/M,1y,"Feb.-
Mid Mar.","D, W",2,3/5
IV. Private Foundations,49,"East Asian Circle of Applied
Technology (EACAT)
（公財）東亜留学生育友会",,"5-6-4 Utsukushigaoka, Aoba-ward,
Yokohama-city, Kanagawa 225-0002
Tel 045-901-3210",F,F,"M
D","35 or
under",Asia,"U of Tokyo,
Science Tokyo,
Yokohama
National U,
Waseda U,
Keio U, Tokyo U
of Agriculture and
Technology,
U of Electro-
Communications,
U of Tsukuba,
Hitotsubashi U","Science,
Technology,
Agriculture,
Humanities",Y,N,"Residents in the
vicinity of Tokyo and
Kanagawa",30/M,1y,Jan.-Feb.,"D, I",10,10/81
IV. Private Foundations,50,"Toka Kyoiku Bunka Koryu
Zaidan
（公財）東華教育文化交流財団",,"8-2-12 Ginza, Chuo-ward, Tokyo
104-0061
Tel 03-3571-7613 Fax 03-3572-5943
info@donghua.or.jp",F,F,"U(3-)
M
D",−,"China, Hong kong,
Macau, Taiwan",−,−,"Y
（50/M）",N,"Junior, Senior,
Master's/ PHD
student",100/M,Within 2y,"Nov. 1-
Nov. 20",D,10,6/174
IV. Private Foundations,51,"Tokio Marine Kagami
Memorial Foundation
（公財）東京海上各務記念財団","Scholarship for ASEAN
Students","1-5-1 Omorikita, Ota-ward, Tokyo
143-0016
Tel 03-3761-6499 Fax 03-3761-5261",S,S,M(1-2),"30 or
under",ASEAN countries,"U of Tokyo,
Institute of
Science Tokyo,
Hitotsubashi U,
Tsukuba U,
Tokyo U of
Foreign Studies,
Waseda U, Keio U,
Sophia U, Kyoto U,
Tohoku U,
Osaka U,
Nagoya U,
Hokkaido U,
Kyushu U",−,N,N,,180/M,"Minimum
years
required for
graduation/
completion","Feb. 1
-Apr. 3","D, I",6,8/13
IV. Private Foundations,52,"TOKYO YWCA
（公財）東京YWCA","“Japanese Mothers for
International Students”
Movement Scholarship","1-8-11, Kandasurugadai, Chiyodaku,
Tokyo 101-0062
Tel 03-3293-5424
Fax 03-3293-5570
www.tokyo.ywca.or.jp/peace/
ryugakusei/scholarship/
ryugakusei@tokyo.ywca.or.jp",F,F,"U(1-2)
ST(1-2)
JC(1-2)",−,−,−,−,360/Y,N,,30/M,1y,"May 7
-May 14","D, I","A few
names",5/66
IV. Private Foundations,53,"TEPCO Memorial Foundation
（公財）東電記念財団",,"Yurakucho Denki Building North 12F,
1-7-1 Yurakucho, Chiyoda-ward,
Tokyo 100-0006",F,F,D,"28 or
under",−,−,"Electricity,
Energy",N,N,,50/M,"Minimum
years
required for
graduation/
completion","Apr. 1
-June 30",D,5,4/21
IV. Private Foundations,54,"Tonen International
Scholarship Foundation
（公財）東燃国際奨学財団",,"Shinkawa-1choume Bldg.
1-2-14 Shinkawa, Chuo-ku,
Tokyo 104-0033
Tel 03-6222-8775",S,S,"M(1)
D","35 or
under",-,"Designated
schools in the
Metropolitan Area",,N,N,"School
recommendation
required",180/M,"1y
（Reapplication
possible）",Early Oct.,"D, I",3,14/14
IV. Private Foundations,55,"Toyoaki Scholarship
Foundation
（公財）豊秋奨学会",,"c/o Toyodaboshoku 1-1 Toyoda-cho,
Kariya-city, Aichi 448-8651
Tel 0566-26-0384 Fax 0566-26-0384",S,S,"M
D(final
year)","35 or
under",China,Aichi pref.,−,N,N,,60/M,1y,"Mid Jan.-
Mid Mar.",D,5,3/3
IV. Private Foundations,56,"Nagashima Bunka Zaidan
（公財）長島文化財団",,"3-42-18 Take, Kagoshima-city,
Kagoshima 890-0045
Tel 099-250-5400
Fax 099-250-5478",F,F,"U
R
M
D",−,Asia,Kagoshima U,−,N,Y,,30/M,"1y
(Apr.-Mar.)","Apr. 20
-May 15",D,Not fixed,0/0
IV. Private Foundations,57,"Japan-Korea Culture
Association
（公財）日韓文化協会",,"403 Ichikawa Buildence, 4-1-7
Takadanobaba, Shinjuku-ward,
Tokyo 169-0075
Tel 03-6844-8408
Fax 03-6844-8546
info@nikkanbunkakyokai.or.jp",F,F,"U(2-4)
M
D",−,Korea,"In and around
Tokyo",−,N,N,,20/M,1y,"Early May-
Mid June","D, I",2,2/3
IV. Private Foundations,58,"JGC-Saneyoshi Scholarship
Foundation
（公財）日揮・実吉奨学会","Grant for International
Students","Seifun Kaikan Building 6F 15-6
Nihonbashikabutocho, Chuoku,
Tokyo 103-0026
Tel 03-3666-8020
Fax 03-3666-8021
www.jgcs.or.jp",S,S,"U
M
D","40 or
under",−,"68 designated
universities
（Contact the
school.）","Science &
Technology",Y,N,"Please contact your
school",300/Y,1y,Apr.-Jun.,D,Not fixed,79/80
IV. Private Foundations,59,"Nitori International Scholarship
Foundation
（公財）似鳥国際奨学財団",,"3-6-20, Kamiya, Kita-ku, Tokyo 115-
0043
Tel 03-3903-3593
www.nitori-shougakuzaidan.com
nitoriKSZ_09@nitori.jp",F,F,U,"4-year
university：
24 or
under,
6-year
university：
26 or
under",−,−,,"Available:
tuition
exemption
(reduction),
temporary
scholarships,
loan-type
scholarships",N,,50-80/M,1y,"Twice a
year,Please
refer to the
website","W,D,I",Max 120,120
IV. Private Foundations,60,"NGK Foundation for
International Students
（財）日本ガイシ留学生基金",NGK Scholarship,"2-56 Suda-cho, Mizuho-ward,
Nagoya, Aichi 467-8530
Tel 052-872-7125
Fax 052-872-7135
www.ngk-insulators.com/en/
sustainability/philanthropy/index.
html",S,S,"U
M
D",Under 35,−,Aichi pref.,−,N,N,,120/M,2y (Max),"Nov.11
-Jan.22","D, I",13,"20/36
(including
extension)"
IV. Private Foundations,61,"Japan Educational Exchanges
and Services(JEES)
（公財）日本国際教育支援協会","JEES International
Scholarship(Study Support)","12F DLX building 1-13-1
Nishishinbashi, Minatoku, Tokyo
105-0003
Educational Exchanges Division
Student Services Department
Tel 03-5454-5274
Fax 03-5454-5242
www.jees.or.jp/
ix@jees.or.jp",S,S,"CT(4-5)
U(2-4)
P
M
D",−,−,−,−,"Y
50/M",N,"Please refer to the
application guidelines
for details",40/M,2y,Apr.-June,D,100,"94
(Grantees)"
,,,,,,,,,,,,,,,,,,,,
IV. Private Foundations,61-2,"Japan Educational Exchanges
and Services(JEES)
（公財）日本国際教育支援協会","JEES Scholarship for the
Japanese Language Study
Support","12F DLX building 1-13-1
Nishishinbashi, Minatoku, Tokyo
105-0003
Educational Exchanges Division
Student Services Department
Tel 03-5454-5274
Fax 03-5454-5242
www.jees.or.jp/
ix@jees.or.jp",,,"JC
U
P
M
D",−,−,−,−,"Y
50/M",−,"Successful candidates
of JLPT conducted
(N1/N2 level).
Someone in need of
financial assistance.
Please refer to the
application guidelines
for details",50/M,2y,Apr.-June,D,80,"82
(Grantees)"
IV. Private Foundations,61-3,"Japan Educational Exchanges
and Services(JEES)
（公財）日本国際教育支援協会","JEES Scholarship for the
Promotion of Japanese
Language Learning","12F DLX building 1-13-1
Nishishinbashi, Minatoku, Tokyo
105-0003
Educational Exchanges Division
Student Services Department
Tel 03-5454-5274
Fax 03-5454-5242
www.jees.or.jp/
ix@jees.or.jp",,,"JC
U
P
M
D",−,−,−,−,"Y
50/M","Y/
Permanent
Resident","Successful candidates
of JLTCT .
Please refer to the
application guidelines
for details",50/M,2y,Apr.-June,D,30,"26
(Grantees)"
IV. Private Foundations,61-4,"Japan Educational Exchanges
and Services(JEES)
（公財）日本国際教育支援協会","JEES・Jinnai International
Student Scholarship
(JEES Sponsor-Crowned
Scholarship)","12F DLX building 1-13-1
Nishishinbashi, Minatoku, Tokyo
105-0003
Educational Exchanges Division
Student Services Department
Tel 03-5454-5274
Fax 03-5454-5242
www.jees.or.jp/
ix@jees.or.jp",,,M(1),−,−,"Kagawa U
(Contact the
university)",Agriculture,"Y
50/M",N,"Please refer to the
application guidelines
for details",100/M,2y,May-July,D,2,"2
(Grantees)"
IV. Private Foundations,61-5,"Japan Educational Exchanges
and Services(JEES)
（公財）日本国際教育支援協会","JEES・Tohkoh Jushi
International Student
Scholarship
(JEES Sponsor-Crowned
Scholarship)","12F DLX building 1-13-1
Nishishinbashi, Minatoku, Tokyo
105-0003
Educational Exchanges Division
Student Services Department
Tel 03-5454-5274
Fax 03-5454-5242
www.jees.or.jp/
ix@jees.or.jp",,,"U
M
D",−,−,"Designated
schools (Contact
the school)",Environment,"Y
50/M",N,"Please refer to the
application guidelines
for details",80/M,1y,Feb.-May,"D, I",1,"0
(Grantees)"
IV. Private Foundations,61-6,"Japan Educational Exchanges
and Services(JEES)
（公財）日本国際教育支援協会","International Student
Scholarship
(JEES Sponsor-Crowned
Scholarship)","12F DLX building 1-13-1
Nishishinbashi, Minatoku, Tokyo
105-0003
Educational Exchanges Division
Student Services Department
Tel 03-5454-5274
Fax 03-5454-5242
www.jees.or.jp/
ix@jees.or.jp",S,S,"U(3)
P
M
D",−,−,"Designated
schools (Contact
the school)","Humanities,
Social
Science,
Science,
Engineering","Y
50/M",N,"Please refer to the
application guidelines
for details",100/M,2y,Oct.-Dec.,D,15,"15
(Grantees）"
IV. Private Foundations,61-7,"Japan Educational Exchanges
and Services(JEES)
（公財）日本国際教育支援協会","JEES・Makita-Jinʼichi
International Scholarship
Foundaion
(JEES Sponsor-Crowned
Scholarship)","12F DLX building 1-13-1
Nishishinbashi, Minatoku, Tokyo
105-0003
Educational Exchanges Division
Student Services Department
Tel 03-5454-5274
Fax 03-5454-5242
www.jees.or.jp/
ix@jees.or.jp",S,S,"U
M
D",−,−,"Ritsumeikan Asia
Pacific U（APU）
(Contact the
university)",−,"Y
50/M",N,"Please refer to the
application guidelines
for details",100/M,2y,Sep.-Jan.,D,7,"10
(Grantees）"
IV. Private Foundations,61-8,"Japan Educational Exchanges
and Services(JEES)
（公財）日本国際教育支援協会","Seiho Scholarship
(JEES Sponsor-Crowned
Scholarship)","12F DLX building 1-13-1
Nishishinbashi, Minatoku, Tokyo
105-0003
Educational Exchanges Division
Student Services Department
Tel 03-5454-5274
Fax 03-5454-5242
www.jees.or.jp/
ix@jees.or.jp",S,S,"U(3)
P(1)
M(1)",−,"China,Taiwan,
Korea,Indonesia,
Malaysia,
Thailand,
Singapore,
Brunei,
Philippines,
Vietnam, Laos,
Cambodia,
Myanmar,
Sri Lanka,
Bangladesh,
Mongolia, Bhutan,
Nepal, India,
Pakistan,
East Timor,
Maldives","Designated
schools (Contact
the school)",−,"Y
50/M",N,"Please refer to the
application guidelines
for details",100/M,2y,Oct.-Dec.,"D, I",8,"7
（Grantees）"
IV. Private Foundations,61-9,"Japan Educational Exchanges
and Services(JEES)
（公財）日本国際教育支援協会","JEES・MHI Mirai
Scholarship
(JEES Sponsor-Crowned
Scholarship)","12F DLX building 1-13-1
Nishishinbashi, Minatoku, Tokyo
105-0003
Educational Exchanges Division
Student Services Department
Tel 03-5454-5274
Fax 03-5454-5242
www.jees.or.jp/
ix@jees.or.jp",S,S,M(1),−,−,"Designated
schools（Contact
the school)","Chemistry,
Electrical and
Electronic
Engineering,
Nuclear
Power
Engineering,
Information,
Metals &
Materials","Y
50/M",N,"Female Student
Please refer to the
application guidelines
for details",120/M,"Minimum
years
required for
graduation/
completion",Feb.-May,"D, I",3,"3
（Grantees）"
IV. Private Foundations,61-10,"Japan Educational Exchanges
and Services(JEES)
（公財）日本国際教育支援協会","JEES・T.Banaji Indian
Students Scholarship
(JEES Sponsor-Crowned
Scholarship)","12F DLX building 1-13-1
Nishishinbashi, Minatoku, Tokyo
105-0003
Educational Exchanges Division
Student Services Department
Tel 03-5454-5274
Fax 03-5454-5242
www.jees.or.jp/
ix@jees.or.jp",S,S,"U
P
Ｍ
Ｄ",−,India,"Designated
schools (Contact
the school)",−,"Y
50/M",N,"Please refer to the
application guidelines
for details",100/M,"Minimum
years
required for
graduation/
completion",Oct.-Jan.,D,5,"6
（Grantees）"
IV. Private Foundations,61-11,"Japan Educational Exchanges
and Services(JEES)
（公財）日本国際教育支援協会","IUCHI Scholarship for
Myanmarese Students
(JEES Sponsor-Crowned
Scholarship)","12F DLX building 1-13-1
Nishishinbashi, Minatoku, Tokyo
105-0003
Educational Exchanges Division
Student Services Department
Tel 03-5454-5274
Fax 03-5454-5242
www.jees.or.jp/
ix@jees.or.jp",S,S,U(1),Under 22,Myanmar,"Designated
schools (Contact
the school)",−,N,N,"Please refer to the
application guidelines
for details",110/M,"Minimum
years
required for
graduation/
completion",Mar.-Apr.,D,2,"3
（Grantees）"
IV. Private Foundations,61-12,"Japan Educational Exchanges
and Services(JEES)
（公財）日本国際教育支援協会","Sumitomo Corporation Oman
International Scholarship
Program
(JEES Sponsor-Crowned
Scholarship)","12F DLX building 1-13-1
Nishishinbashi, Minatoku, Tokyo
105-0003
Educational Exchanges Division
Student Services Department
Tel 03-5454-5274
Fax 03-5454-5242
www.jees.or.jp/
ix@jees.or.jp",S,S,M,−,Oman,"Designated
schools (Contact
the school)",−,N,N,"Please refer to the
application guidelines
for details",152/M,"Minimum
years
required for
graduation/
completion","Mar.-Apr.
Sep.-Nov.",D,2,"2
（Grantees）"
IV. Private Foundations,61-13,"Japan Educational Exchanges
and Services(JEES)
（公財）日本国際教育支援協会","TAISEI Scholarship for
International Students
(JEES Sponsor-Crowned
Scholarship)","12F DLX building 1-13-1
Nishishinbashi, Minatoku, Tokyo
105-0003
Educational Exchanges Division
Student Services Department
Tel 03-5454-5274
Fax 03-5454-5242
www.jees.or.jp/
ix@jees.or.jp",S,S,"U
P
M",−,"Vietnam,
Indonesia,
Thailand,
Philippines,
Malaysia,
Myanmar","Designated
schools (Contact
the school)","Architecture
and Civil
Engineering","Y
50/M",N,"Please refer to the
application guidelines
for details",150/M,"Minimum
years
required for
graduation/
completion",Oct.-Dec.,"D, I",4,"6
(Grantees）"
IV. Private Foundations,61-14,"Japan Educational Exchanges
and Services(JEES)
（公財）日本国際教育支援協会","JEES・JX Nippon
International Scholarship
(Indonesia)
(JEES Sponsor-Crowned
Scholarship)","12F DLX building 1-13-1
Nishishinbashi, Minatoku, Tokyo
105-0003
Educational Exchanges Division
Student Services Department
Tel 03-5454-5274
Fax 03-5454-5242
www.jees.or.jp/
ix@jees.or.jp",S,S,"U(5-6)
P
M",−,Indonesia,"Designated
schools（Contact
the school)",−,−,N,"Please refer to the
application guidelines
for details","80/M
200/Y",Up to 2y,Aug.-Oct.,D,2,"1
(Grantees)"
IV. Private Foundations,61-15,"Japan Educational Exchanges
and Services(JEES)
（公財）日本国際教育支援協会","JEES・Aoki Corporation
International Scholarship
(JEES Sponsor-Crowned
Scholarship)","12F DLX building 1-13-1
Nishishinbashi, Minatoku, Tokyo
105-0003
Educational Exchanges Division
Student Services Department
Tel 03-5454-5274
Fax 03-5454-5242
www.jees.or.jp/
ix@jees.or.jp",S,S,"P
M
D",−,−,"Designated
schools（Contact
the school)",−,"Y
50/M",N,"Please refer to the
application guidelines
for details",100/M,1y,Oct.-Dec.,D,11,"11
（Grantees）"
IV. Private Foundations,61-16,"Japan Educational Exchanges
and Services(JEES)
（公財）日本国際教育支援協会","JEES・Jinnai International
Understanding Scholarship
(JEES Sponsor-Crowned
Scholarship)","12F DLX building 1-13-1
Nishishinbashi, Minatoku, Tokyo
105-0003
Educational Exchanges Division
Student Services Department
Tel 03-5454-5274
Fax 03-5454-5242
www.jees.or.jp/
ix@jees.or.jp",S,S,"U
M
D",−,−,"Designated
schools（Contact
the school)",−,"Y
50/M",N,"Please refer to the
application guidelines
for details",50/M,1y,Oct.-Dec.,D,6,"6
（Grantees）"
IV. Private Foundations,61-17,"Japan Educational Exchanges
and Services(JEES)
（公財）日本国際教育支援協会","JEES・Johnson Controls
Scholarship
(JEES Sponsor-Crowned
Scholarship)","12F DLX building 1-13-1
Nishishinbashi, Minatoku, Tokyo
105-0003
Educational Exchanges Division
Student Services Department
Tel 03-5454-5274
Fax 03-5454-5242
www.jees.or.jp/
ix@jees.or.jp",S,S,"CT(4-5,
Advanced
course 1-2)",−,−,"Designated
schools（Contact
the school)",−,"Y
50/M","Y/
Permanent
Resident","Please refer to the
application guidelines
for details",50/M,1y,Feb.-May,D,4,"4
(Grantees)"
IV. Private Foundations,61-18,"Japan Educational Exchanges
and Services(JEES)
（公財）日本国際教育支援協会","JEES・Mitsubishi Tanabe
Pharma Corporation
Scholaship for Medical and
Pharmacy Students
(JEES Sponsor-Crowned
Scholarship)","12F DLX building 1-13-1
Nishishinbashi, Minatoku, Tokyo
105-0003
Educational Exchanges Division
Student Services Department
Tel 03-5454-5274
Fax 03-5454-5242
www.jees.or.jp/
ix@jees.or.jp",S,S,U,−,−,"Designated
schools（Contact
the school)","Medical ,
Pharmacy","Y
50/M","Y/
Permanent
Resident","Please refer to the
application guidelines
for details",150/M,"Minimum
years
required for
graduation/
completion",Apr.-July,D,10,"10
(Grantees)"
IV. Private Foundations,62,"JAPAN TAIWAN EXCHANGE
ASSOCIATION
（公財）日本台湾交流協会",(Application in Japan),"7F Aoba Roppongi Bldg. 3-16-33
Roppongi, Minato-ward, Tokyo
106-0032
Tel 03-5573-2600 Fax 03-5573-2601",F,F,"M
D
P","Under
35",Taiwan,−,−,N,N,,"144/M-
148/M,
One way
air ticket,
Tuition, etc.","Minimum
period
required for
graduation
of master
or doctor
course","Early Aug.
-Late Oct.",D,Not fixed,"59/127
（2023）"
IV. Private Foundations,63,"NOMURA FOUNDATION
（公財）野村財団",,"Toyosu Bayside Cross Tower
2-2-1, Toyosu, Koto-ku, Tokyo
135-0061
Tel 03-6741-6320
www.nomurafoundation.or.jp/en/
category_topscholar",F,F,"M
D","35 or
under",−,"U of Tokyo,
Hitotsubashi U ,
Kyoto U, Osaka U,
Waseda U, Keio U","Social
Science,
Humanities","Y
50/M",N,"Fill out the date of
the examination
result announcement
if the application is
submitted before
the school admission",200/M,2y,Sep.,"D, I",10,Closed
IV. Private Foundations,64,"Hashiya Scholarship
Foundation
（公財）橋谷奨学会",,"3-17 Higashi Kasai, Edogawa-ward,
Tokyo 134-0084
Tel 03-3689-1120 Fax 03-3689-3120
www.tsukishima.co.jp/zaidan/
hashiya-scholarship@tsukishima.
co.jp",S,S,"ST
JC
U
R
M
D",−,Indonesia,−,−,N,N,"School
recommendation
required",100/M,"Minimum
years
required for
graduation/
completion","Mid
Nov.- Jan.","D, I",Some,3/5
